Iteration,Energy,Loss Function,Bias
0,0.15756890614717306,0.14904428263790398,0.0
1,0.08398776860666654,0.0862215958096437,0.26738988467212477
2,0.02434103437317825,0.03651353503391313,0.480070341921635
3,0.014406654956847863,0.0219833078819235,0.7945899420945579
4,0.006249324309939672,0.012675720132773464,0.9530311537474193
5,0.0006399951224145442,0.006323645688793879,1.1530778100612504
6,0.0013998121013353568,0.006041721197692111,1.2382797627804074
7,0.0007456211860689169,0.0060153217881102495,1.2371055973617897
8,0.0006030771730180529,0.0058723528145993445,1.234359466505124
9,0.0006147978987895932,0.005689645925169648,1.2333902050891041
10,0.0010876253979828917,0.005595225745809234,1.2313933469072207
11,0.0016155729513736457,0.00546683077683205,1.2311154819678938
12,0.0012831878828472372,0.005383976453297805,1.2273185691333528
13,0.0009103649872267969,0.005321670551053994,1.2233590553449074
14,0.0014355076342147466,0.005237037867108831,1.2217014665986397
15,0.0009677440987095717,0.005183029429477719,1.217686164025218
16,0.0023231656175135337,0.0051239119741970105,1.212492313134839
17,0.0023132964796584022,0.00505118938915368,1.206915005710036
18,0.003695414009006494,0.005016352091536548,1.2011250542583214
19,0.0027675285187579086,0.004977210924604609,1.195356010546096
20,0.002325406561760451,0.004932900925835675,1.1888777872101266
21,0.0017231569184725146,0.004867067313449295,1.1829228354247106
22,0.0016817391372502398,0.0048183228647716006,1.1688879271034642
23,0.002458253810443028,0.004759494004160469,1.1591223641749082
24,0.002738783794577004,0.004692729094078367,1.1479954333100426
25,0.004222109918006079,0.004660275555802193,1.1431425531324906
26,0.003949096117694469,0.0046174123499897945,1.1380849674260356
27,0.005870045530384307,0.004573154241431113,1.1317529280384977
28,0.0034678293976634317,0.004555557522099085,1.1195309660284791
29,0.003971912076441153,0.0045280463331741514,1.1157926290220994
30,0.00540959464663661,0.004491415456555291,1.10949988927001
31,0.0063283249657426,0.004465312295486808,1.0958237031589806
32,0.005862797684734196,0.0044416600556103,1.0799431663408974
33,0.0055954228657652426,0.004414375649000096,1.0671324878694661
34,0.006272133414432359,0.004389183219942476,1.0564436626779063
35,0.00601903796603089,0.004359020295728691,1.04118789315007
36,0.00607239813309039,0.004333288050327075,1.0291919961685412
37,0.007836404909836635,0.004303923139825132,1.0151068709963365
38,0.00705921926673005,0.004271472071294006,1.001716091774671
39,0.007081066134412722,0.004250240280577988,0.9810252737812746
40,0.00951475363403286,0.004222145404333456,0.973208798555211
41,0.009188042606106879,0.004202115929752198,0.9483587231867148
42,0.011337360361970038,0.0041835540355207625,0.9424779681479994
43,0.010037069210500833,0.004161840874330393,0.9226255643651382
44,0.01123624779224009,0.004142800065877914,0.9003748165529262
45,0.010702559395184283,0.004120123603240819,0.8799453670412293
46,0.013063684950297583,0.004092356293782074,0.8568656336897466
47,0.012391203044499456,0.004072901404164689,0.804366114047024
48,0.013087644582169052,0.004049409892058367,0.7910040746644108
49,0.012639848665102663,0.004017775807074754,0.7617667748209561
50,0.013459185427487998,0.003983158715704141,0.7089581280838755
51,0.013069260458654015,0.003959833947413055,0.6777013362536939
52,0.014193240491102772,0.003935021421857546,0.6604869194783243
53,0.014505547847339081,0.003911359198969244,0.6223492176425715
54,0.015092609921622646,0.0038850153472186873,0.608562767672096
55,0.01575756565375229,0.0038672246514624017,0.5570854468334189
56,0.017467817542315408,0.0038349403322670696,0.5433853121930482
57,0.018268590773609556,0.0038037777544318104,0.5052856368705305
58,0.018357336156241803,0.003764754282794378,0.5099803668293424
59,0.02134032879402164,0.0037385892468720676,0.4865950121311079
60,0.020089577829856008,0.0037122861798011097,0.49664388050458347
61,0.020354682365872383,0.0036959270350986947,0.4875154509664209
62,0.021229840065423274,0.0036747987623536025,0.48676201497874033
63,0.021711212312561387,0.0036587902893532374,0.47477918745915076
64,0.02086648887990847,0.0036395000999447378,0.46871992041619887
65,0.019649246504291677,0.003620161954732365,0.47108758687907115
66,0.01753855596499423,0.0035988467796233565,0.47327701155572055
67,0.01664393617631504,0.0035812679300248093,0.4736544195422283
68,0.017727979995464552,0.0035591026115244953,0.4801660899063476
69,0.021427856922734488,0.0035432803407702733,0.4808344871513093
70,0.021151705429844566,0.0035306970711436606,0.4856723815792589
71,0.02236548240058814,0.0035192130575047984,0.48461867228784117
72,0.021850597198569074,0.00350699327117237,0.48413080634782496
73,0.020772602371651086,0.003496299602354727,0.48689326068755934
74,0.025404360199747535,0.003486561972284706,0.48474424835788077
75,0.022226106675645133,0.003475572735632863,0.4887743975371045
76,0.02423249429269094,0.0034619716041279307,0.4899078656639257
77,0.02247869271037981,0.0034510198540496687,0.4917657301018485
78,0.02166423020379079,0.003436855895294451,0.4914562551051212
79,0.02159438246802788,0.0034195994013030764,0.49207315771206567
80,0.021507221029596027,0.0034066286155754522,0.4869985032425519
81,0.021116280117263922,0.0033925174935935287,0.48748535396008713
82,0.021682163375843704,0.0033798935686051466,0.48604402787232004
83,0.022024414801343335,0.0033708511831587904,0.4915887208358597
84,0.023043853388720798,0.003362024976912983,0.49245395080172405
85,0.023680178749171686,0.003357730645491908,0.490607335540602
86,0.024502048982959625,0.003351958278040052,0.4907701131629115
87,0.023479977082470255,0.0033447488991027595,0.49077360645808127
88,0.02365839784031417,0.0033374608196892353,0.4910200980332553
89,0.025555183151579345,0.0033327163300454214,0.4900669555461831
90,0.02622434298274246,0.0033262516618848335,0.49013357005286623
91,0.02379470209383549,0.0033195356187373662,0.4886069839891675
92,0.026185278918357816,0.0033151205463823833,0.48678885598345584
93,0.026115834240876705,0.0033104163683539472,0.4878684900509356
94,0.02647322974002069,0.003304688722245336,0.48780743445654684
95,0.026702814730290462,0.0032986460698792848,0.4844931110936803
96,0.02792304000686393,0.003291430911832695,0.48130167392685547
97,0.027782663900317646,0.0032827730403685584,0.4749384818516089
98,0.02693403300233264,0.0032737522228810734,0.46859843744277724
99,0.02728089702235087,0.0032629754400900265,0.46498280694385763
100,0.026667428915497712,0.0032562310757152696,0.4581975816536911
101,0.025704770198923657,0.0032478042762666966,0.4580453556038398
102,0.028560376759428838,0.0032387633370168324,0.4591816423431762
103,0.029419407846261885,0.0032335430649366556,0.4597617505784855
104,0.02977558066011547,0.0032285407388486093,0.460598141542434
105,0.029801669444149262,0.0032260127670622053,0.45443333771667377
106,0.029429792811242153,0.0032226387702680437,0.4566453508725195
107,0.030412728782854913,0.0032191263536132954,0.4585600322330495
108,0.02992808864416289,0.003216938339876384,0.4579870208168565
109,0.03047780650478122,0.0032134504330370603,0.4584063892575602
110,0.029173884359602505,0.003207941239750707,0.45789376435367757
